ID;Region;Reported Date;num;num_men;num_female;num_children;cause;location;Information Source;Location Coordinates
54587;US-Mexico Border;December 30, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.364310000000, -109.484161800000
54586;US-Mexico Border;December 29, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.057701900000, -112.143021500000
54585;US-Mexico Border;December 28, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.586669000000, -111.753637200000
54610;Sub-Saharan Africa;December 28, 2020;1;;1;1;Vehicle  accident;Abeche road, close to Faya Largeau, Chad;IOM Chad;17.923662300000, 19.110711400000
54532;US-Mexico Border;December 27, 2020;1;;1;;Vehicle Accident;At Laredo local hospital, she was hit by a vehicle on hihgway 83 south, Laredo, Texas, USA on 17.12.2020;US Border Patrol;27.506346800000, -99.503519800000
54523;Middle East;December 26, 2020;1;;1;;Drowned;Evros/Meriç River near Sarıcaali Village, Ipsala District, Turkey - She fell into the river during rescue operation.;IOM Turkey;40.993226961755, 26.349816798706
54557;Mediterranean;December 25, 2020;13;5;;1;Drowned;Unspecified location, last spotted 50Nm north of Tripoli, Libya on 25.12 at 12:45 - Departed from Sabratha, Libya on 24.12;Alarm Phone, Pilotes Volontaires;33.331299067715, 13.188591717969
54521;Mediterranean;December 25, 2020;1;;;;Hypothermia;In a hospital in Motril, Granada, Spain - Rescued one day before 30 nautical miles off of Motril;Público;36.748974700000, -3.518036300000
54520;Mediterranean;December 24, 2020;4;;;;dehydration, hypothermia;Unspecified location in the Alboran Sea, rescued 30 nautical miles off of Motril, Granada, Spain;El País, Público;36.214401400000, -3.419552700000
54519;Mediterranean;December 24, 2020;40;1;19;;drowned;6 miles off the coast of Sidi Mansour, Sfax, Tunisia;IOM Tunisia;34.904147662369, 11.212363994531
54535;Mediterranean;December 24, 2020;1;;;;Drowned;Remains washed ashore at Al harsha, Azzawaya, Libya;IOM Libya;32.791531634988, 12.680682339209
54522;North Africa;December 24, 2020;2;;;;dehydration, hypothermia;Off the coast of Laâyoune/El Aaiún, Morocco;El País, Público;27.183682191761, -13.596643549023
54863;Mediterranean;December 23, 2020;5;5;;;Drowned;Unspecified location in the Alboran Sea. Departed from Alhoceima, Morocco on 23.12.2020 at 3:00 GMT. Disappeared without a trace;UNHCR, Watch the Med;35.304207530822, -3.920073826367
54525;Central America;December 22, 2020;2;;1;1;Drowned;Puerto Obaldía, Guna Yala District, Panama;La Estrella de Panamá,Crítica,El Siglo;8.666747300000, -77.419983700000
54531;US-Mexico Border;December 22, 2020;1;1;;;Vehicle Accident;At San Ysidro Port of Entry, San Diego, California, USA;US Border Patrol;32.543483800000, -117.030279500000
54711;US-Mexico Border;December 20, 2020;2;2;;;Drowned;2800 Bentsen Palm, Mission, Hidalgo County, Texas, USA;Hidalgo County Sheriff's Office;26.185486300000, -98.380299100000
54609;East Asia;December 20, 2020;1;1;;;Drowned;Musan County, North Hamgyong Province, the Democratic People's Republic of Korea (North Korea);Daily NK;42.228191600000, 129.214835000000
54574;Mediterranean;December 20, 2020;1;1;;;Drowned;Body found by the Marine Guard on the beach of Cap Zebib (Ras Jebel),  Bizerte, Tunisia;Tunisie Numerique, Banzart FM;37.248914400000, 10.072334900000
54536;Mediterranean;December 19, 2020;3;;3;;Drowned;Unspecified location in the Aegean sea. Survivors rescued off the coast of İzmir’s Foça district/Aslan Burnu, Turkey;Turkish Coast Guard Command, Aegean Boat Report;38.771160929576, 26.513472199219
54710;US-Mexico Border;December 19, 2020;1;1;;;Drowned;1612 Military, Mission, Hidalgo County, Texas, USA;Hidalgo County Sheriff's Office;26.215906600000, -98.325293200000
54537;Mediterranean;December 18, 2020;18;14;;3;Drowned;Remains washed ashore and retreived by Egyptian Coast Guard off the coast of Salloum, Marsa Matrouh, Egypt. Assumed that fishing boat departed from Salloum to Libya (transiting to Italy) before capsizing;El Wafd, el Watan, Annahar, Al Bawabh News, Youm 7, Shorouk news;31.570784487475, 26.162401043408
54514;Mediterranean;December 18, 2020;7;;4;3;Drowned;Off the coast of Isleta del Moro, Almería, Spain (Alboran Sea);Europa Press, La Voz de Almería;36.778889324964, -1.999930041406
54513;Mediterranean;December 18, 2020;1;;1;;Drowned;Off the coast of Lesvos, Greece;IOM Greece;39.282798273776, 26.506360254102
54651;Mediterranean;December 17, 2020;23;;;;Drowned;Boat departed on 17 Dec from Béjaïa, Algeria;AP, Algerie Eco;36.777490977405, 5.128124801074
54512;Europe;December 17, 2020;1;1;;;Electrocution on railway;Near railway station in Sid, Serbia;IOM Serbia;45.147311000000, 19.164440000000
54510;Mediterranean;December 16, 2020;4;;;4;Drowned;Remains of one child found at Azzawyia Musfat and remains of three children at Almutred area, Libya;IOM Libya;32.792128574285, 12.735809554492
54646;Horn of Africa;December 16, 2020;1;;1;;Sickness or lack of access to medicines;Bosaso, Somalia;IOM Somalia;11.275540700000, 49.187899400000
54509;Mediterranean;December 16, 2020;1;;;;Drowned;Body was found in the water 2 miles east of Sidi Mansour, Sfax, Tunisia where a boat that departed en route to Italy from Sidi Mansour malfunctioned;Tunisian Ministry of National Defense;34.766924011766, 10.886894023828
54584;US-Mexico Border;December 16, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.259374400000, -113.168257800000
54511;Mediterranean;December 16, 2020;2;;;;Drowned;Remains recovered on a beach in Sabratha and in Della Azzawiya, Libya;IOM Libya;32.809276297165, 12.590971074609
54501;Middle East;December 15, 2020;5;5;;;Drowned;Evros River, Turkey near border with Greece;IOM Turkey;41.706371658527, 26.372772846243
54508;North Africa;December 15, 2020;3;2;1;1;Vehicle Accident;Pick-up truck en route from Sudan rolled over on KM20 of Shalateen-Aburamad Road, Red Sea Governorate, Egypt;Al Masry Al Youm, Al Youm 7;23.108819600000, 35.562636500000
54583;US-Mexico Border;December 15, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.331803200000, -112.524509300000
54500;Middle East;December 15, 2020;1;1;;;Heart attack;Meriç District of Edirne, Turkey near border with Greece;IOM Turkey;41.199368626153, 26.399764017876
54507;North Africa;December 15, 2020;2;;1;;Drowned;Remains recovered off the coast of Bojdour, Morocco. Presumed to be part of a boat with 27 POB that sank off Bojdour en route to the Canary Islands;Rue 20, Nejma TV, Bojdour Post;26.263762412671, -14.829430744922
54573;Mediterranean;December 14, 2020;5;;;;Drowned;Bodies found by the Marine Guard at Plage de Rimel (Menzel Jemel), Metline, Cap Zebib beach (Ras Jebel), Louka’s Beach and Sidi Mechreg beach, Bizerte, Tunisia;Al Chorouk, Zoom Tunisia;37.163594500000, 9.123697200000
54572;Mediterranean;December 13, 2020;2;;;;Drowned;Bodies found by the Marine Guard on the beaches of Cape Angela and Sidi Mechreg, Bizerte, Tunisia;Al Chorouk, Zoom Tunisia;37.240000000000, 9.217500000000
54492;Caribbean;December 12, 2020;29;4;4;3;Drowned;Near Güiria, Venezuela, en route to Trinidad and Tobago;Venezuelan Ministry of the Interior, Trinidad and Tobago Coast Guard, El País, El Comercio;10.521258035642, -62.148077895683
54506;US-Mexico Border;December 11, 2020;2;2;;;Drowned;Between Golf Camp and Shelby Park, Eagle Pass, Maverick County, Texas, USA;Zocalo, Super Chanel 112;27.499299545000, -99.509008925704
54491;Middle East;December 10, 2020;1;1;;;Unknown;Body found in abandoned building in central Edirne, Turkey;IOM Turkey, Edirne Medya;41.677129700000, 26.555714500000
54486;Central America;December 08, 2020;1;1;;;Violent death;San Benito str., Puerto Madero, Chiapas, Mexico;Diario del Sur;14.707992400000, -92.400339100000
54607;US-Mexico Border;December 08, 2020;1;1;;;Unknown;Barry Goldwater Range, Yuma County, Arizona, USA;Yuma County Medical Examiner;32.652753300000, -113.953646600000
54505;Sub-Saharan Africa;December 08, 2020;4;;;;Drowned;Off the coast of Nouakchott, Mauritania - Departure on 07.12;IOM Mauritania;18.100057474120, -16.723598014085
54498;North Africa;December 07, 2020;3;3;;;dehydration, hypothermia;At the land border between Morocco and Algeria en route to Oujda, Morocco;Chams Post;34.674546004042, -1.807457856445
54470;North Africa;December 06, 2020;11;;;;Drowned;Off the coast of Tan Tan, Morocco, last known position 28° 11', -12° 13';Alarm Phone;28.513531584069, -11.457853000586
54527;US-Mexico Border;December 05, 2020;1;1;;;Heart attack;McAllen, Texas, USA;Tu Nota;26.203407100000, -98.230012400000
54378;Caribbean;December 05, 2020;21;6;2;;Drowned;Off the coast of Lagunas de Nisibon, La Altagracia province, Dominican Republic;24horas, Tu noticia PR;18.885884971235, -68.594448739648
54709;US-Mexico Border;December 05, 2020;1;1;;;Drowned;832 Dillon Rd, Elsa, Hidalgo County, Texas, USA;Hidalgo County Sheriff's Office;26.279276400000, -98.055147700000
54376;Europe;December 04, 2020;1;1;;;Violent death;At Ukraine-Russia border, close to Belgorod, Russia;Anadolu Agency;50.329658526064, 36.278285293359
54375;South America;December 04, 2020;1;1;;;Vehicle accident;45A Highway, between Curití and San Gil, Santander, Colombia;Vanguardia;6.587827714450, -73.095019426514
54582;US-Mexico Border;December 04, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.743067500000, -111.958713100000
54575;US-Mexico Border;December 04, 2020;1;1;;;Violent death;West Bound I-10 MP 289.4 (1/2 miles West of Marsh Station Road On and Off Ramp), Arizona, USA;Pima County Office of the Medical Examiner;30.527960000000, -99.852942300000
54581;US-Mexico Border;December 04, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.730219100000, -111.308191100000
54606;US-Mexico Border;December 04, 2020;1;;;;Unknown;Yuma County, Arizona, USA (see GPS coordinates for exact location);Yuma County Medical Examiner;32.318528800000, -114.066757600000
54580;US-Mexico Border;December 03, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.057499000000, -111.666072500000
54579;US-Mexico Border;December 02, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.746643900000, -111.986180900000
54365;Mediterranean;December 02, 2020;2;;2;;Drowned;Off the eastern coast of Lesvos, Greece;Hellenic Coast Guard via IOM Greece;39.358582342869, 26.395123681836
54578;US-Mexico Border;December 01, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.057499000000, -111.666072500000
54577;US-Mexico Border;December 01, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.075456100000, -113.221194100000
54485;Mediterranean;December 01, 2020;2;2;;;Drowned;Bodies washed ashore at Horcas Coloradas, Melilla, Spain;Europa Press;35.302185000000, -2.940054800000
54576;US-Mexico Border;December 01, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.711633200000, -111.954908400000
54608;North Africa;December 01, 2020;16;;;;dehydration, starvation;Unspecified location - departure from Safi, Morocco en route to Canary Islands around 23.11;Alam Press, Al Hadet, Noon Presse, Plus 24, Badil, Al Aoual;31.446281366058, -11.105865409375
54356;US-Mexico Border;November 30, 2020;1;;1;;Drowned;Rio Bravo, close to Amistad Reservoir, Coahuila, Mexico;Zócalo, Super Channel 12;29.450457910964, -101.060426087620
54377;Caribbean;November 29, 2020;6;;;;Drowned;Canal de la Mona, 8 nautical miles west of Desecheo Island, Puerto Rico;US Coast Guard;18.408421119330, -67.561551238770
54363;North Africa;November 28, 2020;1;;;;Drowned;Boat departed from Sidi Ifni to Canary Islands, body was retreived at sea near Tan-Tan coast, Sidi Ifni, Morocco;Hespress;29.395455198708, -10.196556311914
54469;US-Mexico Border;November 28, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-109.200018000000, 31.483549000000
54472;South America;November 27, 2020;1;1;;;Violent death;Close to the Venezuela-Colombia border, Norte de Santander, Colombia;Extra Venezuela;7.946283100000, -72.898806900000
54361;Mediterranean;November 27, 2020;1;;;;Unknown;Remains recovered off the coast of Khoshoei village, Borollos, Kafr El Sheikh, Egypt.;Veto Gate, Al Masry Al Youm, El Dostor;31.571499612039, 30.840549226367
54353;Caribbean;November 26, 2020;15;4;;;Drowned;Off the coast of Punta del Coco, Lagunas de Nisibón, Higüey, Dominican Republic;Bavaro Digital, Informado;19.095626250191, -69.591168297656
54360;Mediterranean;November 26, 2020;2;;;;Unknown;Remains recovered off Fanar and Narges Beaches, Baltim, Kafr El Sheikh, Egypt.;Veto Gate, El Watan News;31.555537700000, 31.094374900000
54481;Mediterranean;November 26, 2020;2;2;;;Asphyxiation;Found in a a sewege canal in Nador trying to reach the Spanish enclave of Melilla from the port station of Beni Ensar, Nador, Morocco - one of them died in Hassani Hospital ICU;Association Marocaine des Droits Humains - Section Nador, Ya Biladi, Sahafat Bladi, Hespress, MENA Monitor, Sahafat Bladi;35.265200841333, -2.946219501843
54359;Mediterranean;November 26, 2020;4;;2;2;dehydration, hypothermia;Rescued by Royal Moroccan Navy north of Nador, Morocco. Departed on 25 Nov en route to Spain;Association Marocaine des Droits Humains - Section Nador;35.221663030723, -2.839349652246
54645;Horn of Africa;November 25, 2020;1;1;;;Sickness or lack of access to medicines;Bosaso, Somalia;IOM Somalia;11.275540700000, 49.187899400000
54471;South America;November 25, 2020;1;1;;;Violent death;Trocha La Marina, Municipality of Villa del Rosario, Cucuta, Colombia.;La Opinion;7.843787900000, -72.469689700000
54344;North Africa;November 24, 2020;1;;;;dehydration, hypothermia;On board of a boat rescued by Salvamento Marítimo en route to the Canary Islands, Spain.;rtve, AFP;27.355587205826, -16.497294462500
54556;Mediterranean;November 24, 2020;2;;;;Drowned;Shipwrecked one nautical mile off Sonctar beach, Mostganem, Algeria. Departure information unknown;Héroes del Mar, Mostaganem News;36.113307829445, 0.179983308740
54555;Mediterranean;November 24, 2020;11;;;;Drowned;Boat sailed from Zeralda, Algiers, Algeria and disappeared on the Balearic route;Heroes del Mar;36.726613141499, 2.815555773853
54369;South America;November 24, 2020;3;1;2;1;Accident;Municipality of Cucuta, Cucuta, Colombia;La voz de Falcon;7.889097100000, -72.496689600000
54347;North Africa;November 24, 2020;8;8;;;Drowned;Bodies washed up to the coast of Lanzarote, Canary Islands, Spain. Shipwreck occurred off the coast of Orzola. - Departure from Agadir, Morocco, two or three days before. ;EuropaPress, rtve, El Pais, Diario de Avisos;29.229976356699, -13.421058505078
54468;US-Mexico Border;November 23, 2020;1;1;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-112.553166400000, 32.061618000000
54326;Mediterranean;November 23, 2020;1;1;;;Drowned;Body found on beach in northwestern Rhodes, Greece;Reuters, Associated Press;36.465524782991, 28.231215810156
54484;Mediterranean;November 23, 2020;13;13;;;Drowned;Unspecified location off coast of Algeria - departure on 23.11 from Boudouaou-El-Bahri, Boumerdès Province, Algeria - Bodies washed ashore on Algerian coasts in upcoming days.;Echorouk Online, Héroes del Mar, Boumerdes News, El Khabar, Hara FB page;36.803523592789, 3.417572756836
54478;North Africa;November 22, 2020;4;3;;;Drowned;Wooden boat departed on 22 Nov from Chika, Dakhla, Morocco en route to Canary Islands before shortly capsizing;Rue 20, Alam Press, Anfas Press, Ichraka News, Marrakech Alaan;27.868362758428, -13.033909091834
54467;US-Mexico Border;November 21, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-112.915126000000, 32.327874000000
54327;US-Mexico Border;November 21, 2020;1;;1;1;Drowned;Remains found buried close to the Rio Bravo at Guerrero, Coahuila, Mexico - presumed date of death 6 months before;Zócalo;28.350894379517, -100.321731086330
54479;North Africa;November 21, 2020;3;3;;;Drowned;Bodies washed on the shore of Labouirda south of Dakhla. Officials assume it's from a shipwreck en route to Canary Islands;Dakhla News, Cap 24, Al Bahr News;27.975058244015, -12.590332031250
54462;US-Mexico Border;November 19, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-113.054995000000, 32.247309000000
54466;US-Mexico Border;November 19, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-113.092922000000, 32.301813000000
54534;Mediterranean;November 19, 2020;50;;;;Drowned;Unspecified location. Embarked on 19.11 from Garabulli, Libya and disappeared without a trace. Remains washed ashore at Al Khums, Misrata ans Zliten in the following days;IOM Libya, IOM Italy, Alarm Phone;32.993405361667, 13.984458748047
54465;US-Mexico Border;November 19, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-113.078464000000, 32.279368000000
54694;North Africa;November 19, 2020;1;1;;;dehydration, hypothermia;Rescued by merchant vessel Wadowice II north of Gran Canaria, Canary Islands, Spain - remains disembarked in Las Palmas de Gran Canaria;Europa Press;28.366331869042, -15.559796919141
54464;US-Mexico Border;November 19, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-113.062101000000, 32.259404000000
54476;Europe;November 19, 2020;1;1;;;Vehicle Accident;A16 Motorway, near entrance to the Channel Tunnel, France;Calais Migrant Solidarity ;50.938520554438, 1.739093505103
54463;US-Mexico Border;November 19, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-111.562690000000, 31.822720000000
54762;US-Mexico Border;November 18, 2020;1;;1;;Accident;Hospital in Chula Vista, San Diego County, California, USA - Succumbed to injuries after falling from border wall;San Diego County Medical Examiner;32.650986100000, -116.961096200000
54324;Mediterranean;November 18, 2020;2;;;;Drowned;Bodies washed ashore at Zawiya, Al-Harsha, Libya;IOM Libya;32.763960300000, 12.673300900000
54336;US-Mexico Border;November 16, 2020;1;1;;;Accident;On the train tracks between Medias Aguas and Tierra Blanca, Jesus Carranza Municipality, Veracruz, Mexico;Diario del Itsmo;17.437372800000, -95.031802200000
54461;US-Mexico Border;November 15, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-109.282767000000, 31.483133000000
54318;Sub-Saharan Africa;November 15, 2020;35;1;;;Drowned;Shipwreck off the coast of Sal, Cape Verde (boat departed from Mbour, Senegal) - bodies washed ashore in the upcoming days;IOM Cape Verde, Infomigrants;16.734506150095, -22.845940148047
54783;North Africa;November 14, 2020;12;;;;Drowned;Off the coast of Boujadour, Morocco - boat departed 10 days before from Mauritania;Alarm Phone, Village du Migrant;26.029113900186, -14.701714680469
54346;US-Mexico Border;November 13, 2020;1;;;;Drowned;Rio Bravo at Matamoros, Tamaulipas, Mexico;El Manana;25.878862936717, -97.496214467676
54305;Mediterranean;November 13, 2020;2;;;;Unknown;Boat intercepted at 33 18 N 012 44 E, off the coast of Libya;IOM Libya;33.323270277016, 12.436419010937
54309;Middle East;November 13, 2020;2;;;;Vehicle accident;Tusba district, Van province, Turkey;Daily Sabah, TRT Haber;38.501208500000, 43.372979300000
54483;Mediterranean;November 13, 2020;14;14;;;Drowned;"Boat named ""Fatma Al Zahraa"" sailed on 13 Nov from Dellys, Boumerdès Province, Algeria en route to Balearic Islands and went missing in unspecified location at sea";Echorouk Online, Héroes del Mar, Boumerdes City, Boumerdes News, Haraga DZ TV;37.054250024982, 3.933056265234
54296;Mediterranean;November 12, 2020;1;1;;1;Respiratory arrest;On board of the Open Arms - he was rescued the day before around 70 miles off the coast of Libya;Open arms;32.604517081940, 16.349424750000
54304;Mediterranean;November 12, 2020;75;;3;;Drowned;Off the coast of Al Khums, Libya (rescued by fishermen, boat departed from Al Khums on 11 November at 21:00) and bodies washed ashore at Al Khums, Libya in following days;IOM Libya;32.722610732549, 14.331756932227
54303;Mediterranean;November 12, 2020;20;;;;Drowned;Off the coast of Surman, Azzawaya, Libya - last know position 33.483, 12.683 - departed from Zuwara on 09.11 around 4:00 AM.;IOM Libya, MSF, Alarm Phone;33.058226162090, 12.144145714258
54499;Mediterranean;November 12, 2020;11;;;;Drowned;Boat sailed on 11 Nov potentially from Oran, Algeria before disappearing. 4 bodies washed up on the shore of Mosteganem, Algeria, rest missing;El Watan;36.211754905337, -0.425416021875
54308;Sub-Saharan Africa;November 12, 2020;15;;;;Drowned;Bodies recovered from the sea by different boats and brought to Dakar, Senegal.;PressAfrik;14.716677000000, -17.467686100000
54480;North Africa;November 11, 2020;5;5;;;Drowned;Boat sailed from El Mansouria en route to Spain and capsized near David beach between Bouznika and Mohammedia, Morocco ;RifRess, TeleMaroc, Banassa;33.673836474400, -7.488538171680
54473;US-Mexico Border;November 11, 2020;1;1;;;Violent death;Tapachula-Puerto Madero Highway, km10.5, Santa Teresa, Chiapas, Mexico;Diario del Sur;16.102713500000, -92.053040600000
54678;US-Mexico Border;November 11, 2020;1;1;;;Drowned;All American Canal near Winterhaven, Imperial County, California, USA;Imperial County Coroner's Office;33.094364000000, -115.780323700000
54298;Central America;November 11, 2020;1;1;;;Violent death;Abasolo st., Yuriria, Guanajuato, Mexico;Periódico Correo;20.209429000000, -101.126289400000
54297;Mediterranean;November 11, 2020;5;3;2;;Drowned;Recovered from sea during SAR operation executed by Open Arms at 33º22,97'N 012º23,91'E;Open Arms;33.121293119781, 16.261534125000
54307;Sub-Saharan Africa;November 11, 2020;1;;;;Drowned;Body recovered from the sea off the coast of Soumbédioune, Dakar, Senegal;PressAfrik;14.677686300000, -17.458369300000
54289;Mediterranean;November 10, 2020;14;11;3;1;Drowned;Unspecified location off the coast of Libya - boat departed from Zwara on 09.11.2020;IOM Libya;33.092748731085, 12.143459068750
54650;Mediterranean;November 10, 2020;11;;;;Drowned;Remains washed ashore at Mosteganem, Algeria - Boat sailed on 4 Nov potentially from Oran, Algeria before disappearing;Héroes del Mar, El Watani;35.931145400000, 0.090941400000
54708;US-Mexico Border;November 10, 2020;1;1;;;Drowned;8000 International Blvd, Donna, Hidalgo County, Texas, USA;Hidalgo County Sheriff's Office;26.113363000000, -97.959136000000
54496;Mediterranean;November 09, 2020;2;;;;Drowned;Off the coast of Alicante, Spain;Spanish Red Cross;38.226379639063, -0.253106154297
54460;US-Mexico Border;November 09, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-113.117033000000, 32.470967000000
54459;US-Mexico Border;November 09, 2020;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-111.485580000000, 32.211200000000
54497;Caribbean;November 09, 2020;18;3;;;Drowned;Boat departed from Cárdenas, Province of Matanzas, Cuba, bound for Miami, USA;Diario de Cuba, Cuba en Miami, Actualidad Ultimas Noticias;23.837606198293, -80.974049906485
54283;Mediterranean;November 08, 2020;1;1;;;Drowned;Off the coast of Samos, Greece;Hellenic Coast Guard via IOM Greece;37.774327098356, 27.080766926172
54288;Central America;November 08, 2020;1;;;;Accident ;Close to the train tracks, Avantram neighborhood, San Luis Potosí, San Luis Potosí, Mexico;El Universal, Zona Potosina;22.156469900000, -100.985540900000
54364;Mediterranean;November 08, 2020;3;;;;Drowned;Bodies washed ashore at Seilin, Al Khums, Libya;IOM Libya;32.650950500000, 14.267898900000
54707;US-Mexico Border;November 07, 2020;1;1;;;Drowned;1312 Military, La Joya, Hidalgo County, Texas, USA;Hidalgo County Sheriff's Office;26.092678400000, -98.187400800000
54558;North Africa;November 07, 2020;1;;;;dehydration, hypothermia;Body found on board of a boat, rescued 33 miles off of El Hierro, Canary Islands, Spain;EFE, AP;27.210848141968, -17.205819554687
54282;US-Mexico Border;November 06, 2020;1;;;;Vehicle accident;In a trauma center in Palm Springs, California - after being run over on an undetermined road in Calexico, California, USA.;US Border Patrol;33.830296100000, -116.545292100000
54854;US-Mexico Border;November 05, 2020;1;1;;;Vehicle Accident;At the intersection between Zapata Highway and Barrio street, Laredo, Texas, USA;El mañana, KGNS, LMTonline;27.487771600000, -99.471489600000
54458;US-Mexico Border;November 05, 2020;1;1;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;-112.522818000000, 32.399406000000
54275;Mediterranean;November 05, 2020;14;8;4;2;Drowned;Unspecified location in the Alboran Sea;Helena Maleno, Caminando Fronteras;36.214401400000, -3.419552700000
54284;Europe;November 05, 2020;1;;;;Unknown;On Adema Buče Street, Novi Grad Municipality, Sarajevo, Bosnia and Herzegovina;Faktor;43.858537000000, 18.353742300000
54277;North Africa;November 04, 2020;1;;;;dehydration, hypothermia;Body found onboard a boat rescued south of Tenerife, Canary Islands, Spain - disembarked at Los Cristianos Port;EFE Canarias, AP;27.241688314810, -16.684062040625
