ID;Region;date;num;num_men;num_women;num_children;cause;location;Information Source;Location Coordinates
52756;Europe;December 31, 2019;1;;;;Drowned;Unspecified location, Bosnia and Herzegovina;Ministry of Internal Affairs of the Una-Sana Canton ;44.210945440680, 19.023558588857
52825;US-Mexico Border;December 31, 2019;2;;;;Unknown;Unspecified location in Brewster County, Texas, USA;Brewster Sheriff's Office;29.662993800000, -103.358728800000
54588;US-Mexico Border;December 31, 2019;10;;;;Unknown;Yuma County, Arizona, USA;Yuma County Office of the Medical Examiner;32.692651200000, -114.627691600000
52824;US-Mexico Border;December 31, 2019;1;1;;;Unknown;Unspecified location in Jeff Davis County, Texas, USA;Jeff Davis County Sheriff's Office;30.578414944603, -104.382605960160
53650;North Africa;December 31, 2019;1;;1;;Vehicle Accident;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
52758;Europe;December 31, 2019;2;;;;accident;Unspecified location, Bosnia and Herzegovina;Ministry of Internal Affairs of the Una-Sana Canton ;44.162208777872, 19.204954533721
52757;Europe;December 31, 2019;3;;;;Vehicle accident;Unspecified location, Bosnia and Herzegovina;Ministry of Internal Affairs of the Una-Sana Canton ;44.163960197629, 19.199461369658
52784;Central America;December 30, 2019;1;1;;;Violent death;Train tracks near Atotonilco de Tula, Hidalgo, Mexico;Periódico AM;20.009883384223, -99.215657551787
52759;Mediterranean;December 30, 2019;1;;;;Drowned;Unspecified location off the coast of Libya;IOM Libya;32.845847906405, 12.564471287134
52745;US-Mexico Border;December 30, 2019;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.079925400000, -111.977598000000
52673;Mediterranean;December 30, 2019;1;;;;Hypothermia;Unspecififed location off the coast of Algeria;El Watan;35.568972356329, -1.289773129748
52822;Mediterranean;December 30, 2019;45;;;;Drowned;Unspecified location off the coast of Libya;Alarm Phone;33.236144031382, 12.590751031285
52666;Mediterranean;December 30, 2019;1;1;;;Drowned;Recoverd on Calamorcarro Beach, Ceuta;El Foro de Ceuta, El Pueblo de Ceuta;35.912383552874, -5.357673338898
52858;Europe;December 28, 2019;5;;;;Drowned;Unspecified location in the Evros/Meriç river, Evros region, Greece;Forensic Laboratory of Alexandroupolis Hospital via efsyn;40.910459471231, 26.256949499334
52885;North Africa;December 28, 2019;40;;;;Drowned;Unspecified location between Morocco and Canary Islands, Spain;Alarm Phone, Caminando Fronteras;25.890635194471, -16.333864782109
52663;East Asia;December 27, 2019;5;3;;;Unknown;Bodies found on boat near Sado Island, Niigata, Japan;Japan Times, Kyodo News, AFP;38.154018233313, 138.086032653130
52783;Central America;December 27, 2019;1;1;;;Violent death;Santa Bárbara, Honduras (died after injuries sustained on October 28 when he was attacked in a migrant caravan);El Heraldo, La Prensa;14.921917700000, -88.237599100000
53649;North Africa;December 27, 2019;1;;1;1;Sickness or lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
52662;Middle East;December 26, 2019;7;;;;Drowned;Van lake near Adilcevaz, Bitlis, Turkey;EFE, BBC, ARYnews;38.777228612085, 42.739257582031
53648;North Africa;December 25, 2019;1;;1;;Violent death;Sabha, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);27.022490000000, 14.440990000000
53647;North Africa;December 25, 2019;1;1;;;Sickness or lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Sabratha, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);38.120720000000, 13.307010000000
53646;North Africa;December 25, 2019;1;;1;1;Sickness or lack of access to medicines;Sabha, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);27.022490000000, 14.440990000000
52826;US-Mexico Border;December 25, 2019;1;1;;;Sickness;Laredo Medical Center in Laredo, Webb County, Texas, USA;US Border Patrol;27.530891056883, -99.481759778113
53317;Sub-Saharan Africa;December 25, 2019;1;1;;;Sickness or lack of access to medicines;Bamako, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-7.995856000000, 12.617282000000
53645;North Africa;December 24, 2019;1;1;;;Violent death;Tripoli, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);32.895340000000, 13.181050000000
52661;Middle East;December 24, 2019;12;;;;Air strike;Al-Raqw market in Saada, Yemen;UN Humanitarian Coordinator in Yemen, Qatar Tribune, NY Times, Peoples Dispatch;17.245364805636, 43.239093360326
53644;North Africa;December 24, 2019;1;1;;;Sickness or lack of access to medicines;Qatrun, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);24.934383000000, 14.633161000000
52782;Mediterranean;December 24, 2019;1;1;;;Unknown;Body found floating near El Sarchal, Ceuta, Spain;El Foro de Ceuta, El Pueblo de Ceuta;35.888792367704, -5.292709558712
53316;Sub-Saharan Africa;December 24, 2019;1;1;;;Vehicle Accident;Unspecified location in the Central African Republic;Mixed Migration Monitoring Mechanism Initiative (4Mi);22.524866000000, 9.987734000000
53643;Sub-Saharan Africa;December 24, 2019;2;;2;2;Sickness or lack of access to medicines;Ndjamena, Chad;Mixed Migration Monitoring Mechanism Initiative (4Mi);12.113160000000, 15.049120000000
53315;Sub-Saharan Africa;December 24, 2019;3;1;1;2;Vehicle Accident;Dedougou, Burkina Faso;Mixed Migration Monitoring Mechanism Initiative (4Mi);-3.470043000000, 12.448416000000
52989;Southeast Asia;December 23, 2019;1;1;;1;Sickness or lack of access to medicines;Rakhine State, Myanmar;Mixed Migration Monitoring Mechanism Initiative (4Mi);21.109070000000, 92.651732000000
52660;Europe;December 23, 2019;6;3;3;2;Drowned;Danube River near Karavukovo, Serbia, near border with Croatia;IOM Serbia;45.492211859695, 19.093471134766
53642;North Africa;December 23, 2019;1;1;;;Sickness or lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Suffocation;Tamanrasset, Algeria;Mixed Migration Monitoring Mechanism Initiative (4Mi);22.787960000000, 5.527180000000
53314;Sub-Saharan Africa;December 22, 2019;3;2;;1;Vehicle Accident;Sevare, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-4.095111000000, 14.522790000000
53641;North Africa;December 22, 2019;1;;1;;Sickness or lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Tamanrasset, Algeria;Mixed Migration Monitoring Mechanism Initiative (4Mi);22.787960000000, 5.527180000000
53640;North Africa;December 22, 2019;2;1;1;1;Sickness or lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
53639;North Africa;December 22, 2019;1;1;;;Vehicle accident;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
52674;Europe;December 22, 2019;1;;1;;Unknown;Between Kirki and Alexandroupolis, Evros Region, Greece;Eidiseis;40.906817440243, 25.840116946924
52988;Southeast Asia;December 22, 2019;2;2;;;Dehydration;Lampang Province, Thailand;Mixed Migration Monitoring Mechanism Initiative (4Mi);18.242307000000, 99.145007000000
52986;Southeast Asia;December 21, 2019;2;1;1;1;Starvation, Harsh weather/lack of adequate shelter;Bangkok, Thailand;Mixed Migration Monitoring Mechanism Initiative (4Mi);13.767867000000, 100.782065000000
54640;Horn of Africa;December 21, 2019;1;;1;;Drowned;Bosaso, Somalia;IOM Somalia;11.275540700000, 49.187899400000
53638;North Africa;December 21, 2019;1;;1;;Sickness or lack of access to medicines;Tripoli, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);32.895340000000, 13.181050000000
52987;Southeast Asia;December 21, 2019;4;1;1;2;Starvation, Harsh weather/lack of adequate shelter;Bangkok, Thailand;Mixed Migration Monitoring Mechanism Initiative (4Mi);13.762564000000, 100.830221000000
52664;US-Mexico Border;December 20, 2019;84;;;;unknown;Cumulative total 1 Jan - 20 Dec 2019 for Webb County Medical Examiner’s Office, Texas;Webb County Medical Examiner’s Office;27.531364500000, -99.428485200000
53311;Sub-Saharan Africa;December 20, 2019;1;1;;;accident;Agadez, Niger;Mixed Migration Monitoring Mechanism Initiative (4Mi);7.985996000000, 16.975448000000
53637;North Africa;December 20, 2019;1;;1;;Sickness or lack of access to medicines;Qatrun, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);24.934383000000, 14.633161000000
53310;Sub-Saharan Africa;December 19, 2019;1;1;;;Unknown;Between Gossi and Hombori, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-1.451000000000, 15.494677000000
52781;Mediterranean;December 19, 2019;1;;1;;Unknown;Body found upon disembarkation on Chafarinas Island, Spain;Salvamento Marítimo, COPE;35.179670616173, -2.429624658968
53636;Sub-Saharan Africa;December 19, 2019;1;1;;;Sickness or lack of access to medicines, Starvation, Violent death;Agadez, Niger;Mixed Migration Monitoring Mechanism Initiative (4Mi);16.973140000000, 7.989740000000
52744;US-Mexico Border;December 19, 2019;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.346964500000, -111.518373600000
53635;North Africa;December 18, 2019;1;1;;1;Sickness or lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Bani Walid, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);31.764020000000, 14.035110000000
52743;US-Mexico Border;December 18, 2019;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.017756700000, -112.164876400000
52985;Southeast Asia;December 18, 2019;13;2;2;2;Sickness or lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Violent death, Sexual abuse, Violent death;Unspecified location in the Andaman Sea/Bay of Bengal;Mixed Migration Monitoring Mechanism Initiative (4Mi);10.621857000000, 96.890101000000
53313;Sub-Saharan Africa;December 18, 2019;1;;1;;Vehicle Accident;Segou, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-6.249892000000, 13.427836000000
53634;North Africa;December 18, 2019;1;1;;;Sickness or lack of access to medicines, Starvation, Violent death;Qatrun, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);24.934383000000, 14.633161000000
52742;US-Mexico Border;December 18, 2019;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.017756700000, -112.164876400000
53633;North Africa;December 18, 2019;1;1;;;Sickness or lack of access to medicines;Sabha, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);27.022490000000, 14.440990000000
52675;Europe;December 18, 2019;1;1;;;Drowned;Isonzo river, between Gradisca and Sagrado, Italy;il Giornale;45.881492295409, 13.494343026794
53632;North Africa;December 18, 2019;1;;1;;Sickness or lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
53631;Sub-Saharan Africa;December 18, 2019;4;1;1;;Dehydration;Garin Kouka, Niger;Mixed Migration Monitoring Mechanism Initiative (4Mi);12.959020000000, 3.512500000000
52667;Mediterranean;December 18, 2019;4;1;3;1;Drowned;Recovered on beach in Driouch region, Morocco;Nador City;35.187732269556, -3.375644698242
53630;North Africa;December 18, 2019;2;;1;1;Sickness or lack of access to medicines;Murzuq, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);25.915070000000, 13.916440000000
53629;North Africa;December 17, 2019;1;;2;;Sickness or lack of access to medicines, Starvation, Vehicle Accident;Ghadames, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);30.159700000000, 9.697910000000
52676;Mediterranean;December 17, 2019;6;;;;Unknown;35 miles off the coast of Motril, Granada, Spain in the Alboran Sea;Salvamento Maritimo, Republica, UNHCR;36.374076442115, -3.578461104687
52659;Europe;December 17, 2019;1;1;;;Vehicle accident;E42 motorway near Vaulx, Belgium;Sudinfo, VivreIci;50.597638474288, 3.445888463321
52658;Mediterranean;December 16, 2019;31;;;;Drowned;Unspecified location in the Alboran Sea near Morocco;Alarm Phone;35.575701636239, -3.324309453125
52862;Mediterranean;December 16, 2019;19;1;1;;Drowned;Off the coast of Plage de Bousfer, Oran, Algeria. Remains recovered near Sidi-Fredj, Algiers and Jijel);El Watan, Réflexion, Le Quotidien d'Oran;35.829754886051, -0.960676505342
52657;Mediterranean;December 16, 2019;1;;;;Unknown;Body found on patera arriving in Alboran, Spain;Salvamento Maritimo, Republica, Le Figaro, Big News Network;35.738657092564, -3.063179920313
52741;Mediterranean;December 16, 2019;1;;;;Unknown;Off the coast of Al-Khums, Libya;IOM Libya;32.799780949670, 14.363724002180
52821;Mediterranean;December 16, 2019;56;;9;;Drowned;Unspecified location in the Alboran Sea, between Morocco and Spain;Caminando Fronteras, Nuovi Desaparecidos, family report;35.763981352006, -3.273141230342
53628;North Africa;December 15, 2019;1;;;1;Sickness or lack of access to medicines, Starvation, Vehicle Accident, Violent death, Sexual abuse;Tamanrasset, Algeria;Mixed Migration Monitoring Mechanism Initiative (4Mi);22.787960000000, 5.527180000000
52656;Central America;December 15, 2019;1;1;;;vehicle accident;Train tracks at the intersection of Insurgentes and 17 Junio streets in San Patricio, Chihuahua, Mexico;Las Noticias SV, EntreLineas;28.693108078255, -106.091735282000
53627;North Africa;December 15, 2019;2;1;1;1;Sickness or lack of access to medicines, Starvation, Vehicle Accident;Tamanrasset, Algeria;Mixed Migration Monitoring Mechanism Initiative (4Mi);22.787960000000, 5.527180000000
53312;Sub-Saharan Africa;December 15, 2019;1;1;;;Sickness or lack of access to medicines;Ougadougou, Burkina Faso;Mixed Migration Monitoring Mechanism Initiative (4Mi);-1.521050000000, 12.368721000000
53626;North Africa;December 15, 2019;1;1;;;Sickness or lack of access to medicines;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
53308;Sub-Saharan Africa;December 14, 2019;3;3;;;Unknown;Timbuktu, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-3.002443000000, 16.765672000000
53307;Sub-Saharan Africa;December 14, 2019;6;2;1;1;unknown;Timbuktu, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-3.002443000000, 16.765672000000
53306;Sub-Saharan Africa;December 14, 2019;3;1;1;1;Sickness or lack of access to medicines, Vehicle Accident;Sikasso, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-5.691763000000, 11.316677000000
52984;Southeast Asia;December 14, 2019;5;2;2;2;Sickness or lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Bangkok, Thailand;Mixed Migration Monitoring Mechanism Initiative (4Mi);13.778173000000, 100.730993000000
52983;Southeast Asia;December 14, 2019;3;1;1;1;Starvation, Harsh weather/lack of adequate shelter, Violent death;Unspecifed location in the Andaman Sea/Bay of Bengal;Mixed Migration Monitoring Mechanism Initiative (4Mi);9.831246000000, 97.823939000000
53625;North Africa;December 14, 2019;1;1;;;Violent death;Tripoli, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);32.895340000000, 13.181050000000
53624;North Africa;December 14, 2019;1;;1;;Sickness or lack of access to medicines;Sabha, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);27.022490000000, 14.440990000000
53309;Sub-Saharan Africa;December 14, 2019;1;1;;;Vehicle Accident;Mao, Chad;Mixed Migration Monitoring Mechanism Initiative (4Mi);15.319662000000, 14.130759000000
53623;North Africa;December 14, 2019;1;;1;;Vehicle Accident;Umm Al Aranib, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);26.140951000000, 14.735026000000
53305;Sub-Saharan Africa;December 13, 2019;2;2;;2;Vehicle Accident;Bamako, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-7.995856000000, 12.617282000000
53622;North Africa;December 12, 2019;1;;1;;Sickness or lack of access to medicines, Starvation, Dehydration;Sabratha, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);38.120720000000, 13.307010000000
